final_filename,source,owner,rights_evidence,allowed_use,width,height,transformations,alt_text_decision,reviewer,review_date
public/images/teachings/gideon-gods-agenda-part-one.jpg,https://i.ytimg.com/vi/tWKxz7YrnA0/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video tWKxz7YrnA0 on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/gideon-gods-agenda-part-two.jpg,https://i.ytimg.com/vi/0jeOgbfl1vk/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video 0jeOgbfl1vk on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/gideon-gods-agenda-part-three.jpg,https://i.ytimg.com/vi/njO21uBJxMM/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video njO21uBJxMM on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/gideon-gods-agenda-part-four.jpg,https://i.ytimg.com/vi/CaV9NyMAfMY/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video CaV9NyMAfMY on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/gideon-gods-agenda-part-five.jpg,https://i.ytimg.com/vi/ru7dI3HSKIQ/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video ru7dI3HSKIQ on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/context-perspective-and-revival.jpg,https://i.ytimg.com/vi/lPRvDRofqkQ/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video lPRvDRofqkQ on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/obedience-and-sacrifice.jpg,https://i.ytimg.com/vi/H3k4iw_6fj0/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video H3k4iw_6fj0 on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/significance.jpg,https://i.ytimg.com/vi/x2pT7uYkvlA/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video x2pT7uYkvlA on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/the-blame-game.jpg,https://i.ytimg.com/vi/s8FewMKaHSM/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video s8FewMKaHSM on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/jesus-and-memory-maps.jpg,https://i.ytimg.com/vi/PWU_VB0qfUU/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video PWU_VB0qfUU on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/loving-jesus-loving-people.jpg,https://i.ytimg.com/vi/jb0JRyF07Yk/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video jb0JRyF07Yk on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/jesus-and-the-thirteenth-disciple.jpg,https://i.ytimg.com/vi/PxlLRWjycZg/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video PxlLRWjycZg on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/prophets-corner-episode-one.jpg,https://i.ytimg.com/vi/kD28pst1hpU/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video kD28pst1hpU on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/cry-holy.jpg,https://i.ytimg.com/vi/Nl6JIlKUbQE/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video Nl6JIlKUbQE on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/behold.jpg,https://i.ytimg.com/vi/xiLXewFUWAM/sddefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video xiLXewFUWAM on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,640,480,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/revival-police.jpg,https://i.ytimg.com/vi/C8alBDDqBNw/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video C8alBDDqBNw on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/heart-over-hand.jpg,https://i.ytimg.com/vi/OiGtroG7uHE/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video OiGtroG7uHE on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/heart.jpg,https://i.ytimg.com/vi/yeAIXEAdvTU/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video yeAIXEAdvTU on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/overcoming-the-past-redefining-success.jpg,https://i.ytimg.com/vi/OfyCpxqYamE/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video OfyCpxqYamE on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/relationships-part-one.jpg,https://i.ytimg.com/vi/ml1tCKumJNw/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video ml1tCKumJNw on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/relationships-part-two.jpg,https://i.ytimg.com/vi/lAn92FsttOM/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video lAn92FsttOM on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/relationships-part-three.jpg,https://i.ytimg.com/vi/P7FnRJ0lq2E/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video P7FnRJ0lq2E on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/teachings/relationships-part-four.jpg,https://i.ytimg.com/vi/QhzS_keuuT4/maxresdefault.jpg,The Lion Company,public ministry-owned YouTube thumbnail for video QhzS_keuuT4 on the verified @TheLionCompany channel,teaching card and pre-play facade identification of the corresponding ministry video,1280,720,none,descriptive alt text naming the teaching title,Codex provenance review,2026-07-11
public/images/brand/lion-portrait.jpg,production commit 492ee8d41d lion_bg.jpg,The Lion Company,added by owner commit 7183b003 and exact production SHA-256 dffe51bfd3e6876973d6068ef5e702945c2b8da2e5a62631a0c11a6af2c8e6a4,single decorative homepage hero use,1024,573,renamed only,decorative crop with empty alternative text,Codex provenance review,2026-07-11
